Gene	gene_length
ENSDARG00000020197	1039
ENSDARG00000020201	2749
ENSDARG00000020204	6173
ENSDARG00000020212	2978
ENSDARG00000020217	1874
ENSDARG00000020218	4243
ENSDARG00000020219	3339
ENSDARG00000020224	2882
ENSDARG00000020228	4071
ENSDARG00000020231	1496
ENSDARG00000020232	1536
ENSDARG00000020235	7569
ENSDARG00000020237	1328
ENSDARG00000020239	5050
ENSDARG00000020241	2210
ENSDARG00000020242	2908
ENSDARG00000020250	2760
ENSDARG00000020252	2193
ENSDARG00000020258	3035
ENSDARG00000020261	2587
ENSDARG00000020265	1983
ENSDARG00000020278	4542
ENSDARG00000020279	2988
ENSDARG00000020284	3867
ENSDARG00000020289	4123
ENSDARG00000020292	1951
ENSDARG00000020298	2887
ENSDARG00000020301	2519
ENSDARG00000020311	2373
ENSDARG00000020326	8411
ENSDARG00000020328	6882
ENSDARG00000020332	1166
ENSDARG00000020334	7284
ENSDARG00000020345	7098
ENSDARG00000020354	1496
ENSDARG00000020363	980
ENSDARG00000020364	1622
ENSDARG00000020371	1822
ENSDARG00000020377	4032
ENSDARG00000020387	1719
ENSDARG00000020395	9748
ENSDARG00000020397	2566
ENSDARG00000020405	1588
ENSDARG00000020417	2987
ENSDARG00000020427	2393
ENSDARG00000020442	2582
ENSDARG00000020443	2427
ENSDARG00000020447	5905
ENSDARG00000020448	1382
ENSDARG00000020449	1948
ENSDARG00000020450	3117
ENSDARG00000020454	1481
ENSDARG00000020455	1902
ENSDARG00000020465	3172
ENSDARG00000020467	3216
ENSDARG00000020469	6021
ENSDARG00000020473	1315
ENSDARG00000020475	2888
ENSDARG00000020482	5342
ENSDARG00000020483	1436
ENSDARG00000020488	3323
ENSDARG00000020493	2505
ENSDARG00000020494	2137
ENSDARG00000020497	5080
ENSDARG00000020504	809
ENSDARG00000020509	2147
ENSDARG00000020521	6519
ENSDARG00000020527	1977
ENSDARG00000020529	2520
ENSDARG00000020541	4750
ENSDARG00000020544	3359
ENSDARG00000020548	982
ENSDARG00000020573	5068
ENSDARG00000020574	4331
ENSDARG00000020581	8425
ENSDARG00000020594	5810
ENSDARG00000020595	1932
ENSDARG00000020596	2574
ENSDARG00000020600	2755
ENSDARG00000020602	3379
ENSDARG00000020606	1640
ENSDARG00000020607	2644
ENSDARG00000020609	2780
ENSDARG00000020610	1176
ENSDARG00000020611	1742
ENSDARG00000020618	1729
ENSDARG00000020621	4878
ENSDARG00000020623	2061
ENSDARG00000020625	6712
ENSDARG00000020642	4311
ENSDARG00000020645	4519
ENSDARG00000020647	3210
ENSDARG00000020655	1350
ENSDARG00000020656	3095
ENSDARG00000020676	3318
ENSDARG00000020679	1584
ENSDARG00000020693	4992
ENSDARG00000020699	4868
ENSDARG00000020702	3516
ENSDARG00000020708	1100
ENSDARG00000020711	2448
ENSDARG00000020718	1471
ENSDARG00000020730	4804
ENSDARG00000020735	4693
ENSDARG00000020738	1929
ENSDARG00000020741	3142
ENSDARG00000020744	1080
ENSDARG00000020746	1681
ENSDARG00000020749	3626
ENSDARG00000020758	2289
ENSDARG00000020759	4781
ENSDARG00000020761	3241
ENSDARG00000020764	2697
ENSDARG00000020771	5335
ENSDARG00000020777	5828
ENSDARG00000020785	6221
ENSDARG00000020788	2072
ENSDARG00000020794	1835
ENSDARG00000020795	4241
ENSDARG00000020798	1599
ENSDARG00000020811	4011
ENSDARG00000020812	1728
ENSDARG00000020814	840
ENSDARG00000020820	6568
ENSDARG00000020822	944
ENSDARG00000020834	8566
ENSDARG00000020840	5563
ENSDARG00000020841	1462
ENSDARG00000020845	6043
ENSDARG00000020847	3556
ENSDARG00000020850	5863
ENSDARG00000020853	1146
ENSDARG00000020857	2502
ENSDARG00000020863	3222
ENSDARG00000020866	1111
ENSDARG00000020871	5047
ENSDARG00000020872	5382
ENSDARG00000020876	3727
ENSDARG00000020884	3988
ENSDARG00000020887	1353
ENSDARG00000020890	2382
ENSDARG00000020891	1002
ENSDARG00000020893	3164
ENSDARG00000020895	1298
ENSDARG00000020898	2656
ENSDARG00000020901	1592
ENSDARG00000020913	3067
ENSDARG00000020924	3823
ENSDARG00000020926	2699
ENSDARG00000020929	2463
ENSDARG00000020944	5403
ENSDARG00000020946	3241
ENSDARG00000020948	2780
ENSDARG00000020952	2853
ENSDARG00000020953	4494
ENSDARG00000020956	3414
ENSDARG00000020957	2114
ENSDARG00000020960	2968
ENSDARG00000020964	2559
ENSDARG00000020976	4551
ENSDARG00000020979	4122
ENSDARG00000020981	1968
ENSDARG00000020982	4885
ENSDARG00000020984	2389
ENSDARG00000020986	1587
ENSDARG00000021004	5115
ENSDARG00000021021	3993
ENSDARG00000021022	1513
ENSDARG00000021032	1799
ENSDARG00000021033	2987
ENSDARG00000021046	1641
ENSDARG00000021048	2324
ENSDARG00000021055	1994
ENSDARG00000021059	2031
ENSDARG00000021082	6071
ENSDARG00000021086	1400
ENSDARG00000021097	2553
ENSDARG00000021107	1756
ENSDARG00000021110	2450
ENSDARG00000021112	2525
ENSDARG00000021113	1544
ENSDARG00000021115	1937
ENSDARG00000021120	3270
ENSDARG00000021124	1766
ENSDARG00000021135	2344
ENSDARG00000021137	19174
ENSDARG00000021140	2886
ENSDARG00000021141	1210
ENSDARG00000021143	6055
ENSDARG00000021147	2650
ENSDARG00000021149	1611
ENSDARG00000021150	1869
ENSDARG00000021151	3254
ENSDARG00000021154	2803
ENSDARG00000021163	6264
ENSDARG00000021172	1941
ENSDARG00000021177	4886
ENSDARG00000021184	2232
ENSDARG00000021186	1997
ENSDARG00000021193	6074
ENSDARG00000021195	4582
ENSDARG00000021200	2381
ENSDARG00000021201	991
ENSDARG00000021208	2471
ENSDARG00000021209	1468
ENSDARG00000021220	2690
ENSDARG00000021225	3778
ENSDARG00000021232	1176
ENSDARG00000021233	1948
ENSDARG00000021239	4934
ENSDARG00000021241	3925
ENSDARG00000021242	3150
ENSDARG00000021250	2085
ENSDARG00000021252	4222
ENSDARG00000021255	2087
ENSDARG00000021257	3082
ENSDARG00000021265	3847
ENSDARG00000021287	1260
ENSDARG00000021288	1785
ENSDARG00000021305	1535
ENSDARG00000021309	2745
ENSDARG00000021324	1394
ENSDARG00000021336	1231
ENSDARG00000021339	1353
ENSDARG00000021343	3900
ENSDARG00000021345	1957
ENSDARG00000021346	1595
ENSDARG00000021351	3166
ENSDARG00000021352	8014
ENSDARG00000021366	1592
ENSDARG00000021369	1050
ENSDARG00000021370	1781
ENSDARG00000021372	2273
ENSDARG00000021374	4424
ENSDARG00000021378	4071
ENSDARG00000021380	1894
ENSDARG00000021383	2395
ENSDARG00000021389	6808
ENSDARG00000021392	6178
ENSDARG00000021398	5818
ENSDARG00000021399	1724
ENSDARG00000021402	9371
ENSDARG00000021404	3280
ENSDARG00000021405	6024
ENSDARG00000021408	3377
ENSDARG00000021432	847
ENSDARG00000021433	2245
ENSDARG00000021439	2863
ENSDARG00000021442	4718
ENSDARG00000021443	3021
ENSDARG00000021444	1898
ENSDARG00000021455	5718
ENSDARG00000021462	1748
ENSDARG00000021466	3091
ENSDARG00000021480	3963
ENSDARG00000021483	2697
ENSDARG00000021488	3646
ENSDARG00000021494	4211
ENSDARG00000021497	942
ENSDARG00000021509	3969
ENSDARG00000021521	2715
ENSDARG00000021539	8719
ENSDARG00000021547	2733
ENSDARG00000021550	1982
ENSDARG00000021555	1500
ENSDARG00000021556	2853
ENSDARG00000021557	2074
ENSDARG00000021566	1764
ENSDARG00000021569	2684
ENSDARG00000021572	1830
ENSDARG00000021573	2019
ENSDARG00000021579	1671
ENSDARG00000021582	853
ENSDARG00000021584	4039
ENSDARG00000021589	1187
ENSDARG00000021590	7614
ENSDARG00000021595	2519
ENSDARG00000021607	2472
ENSDARG00000021611	4450
ENSDARG00000021633	832
ENSDARG00000021647	2431
ENSDARG00000021664	6668
ENSDARG00000021669	2586
ENSDARG00000021677	2143
ENSDARG00000021681	1623
ENSDARG00000021688	2646
ENSDARG00000021697	1393
ENSDARG00000021702	2945
ENSDARG00000021720	10973
ENSDARG00000021735	7205
ENSDARG00000021739	2264
ENSDARG00000021753	1390
ENSDARG00000021787	8897
ENSDARG00000021789	2495
ENSDARG00000021794	3313
ENSDARG00000021805	1692
ENSDARG00000021806	2656
ENSDARG00000021808	2478
ENSDARG00000021811	1833
ENSDARG00000021812	3336
ENSDARG00000021827	2355
ENSDARG00000021833	7511
ENSDARG00000021838	582
ENSDARG00000021846	1160
ENSDARG00000021849	6183
ENSDARG00000021853	1711
ENSDARG00000021855	3628
ENSDARG00000021859	3923
ENSDARG00000021864	1222
ENSDARG00000021866	2331
ENSDARG00000021869	1713
ENSDARG00000021882	957
ENSDARG00000021885	678
ENSDARG00000021889	1480
ENSDARG00000021891	3083
ENSDARG00000021895	3225
ENSDARG00000021896	9558
ENSDARG00000021899	4425
ENSDARG00000021905	2193
ENSDARG00000021909	1141
ENSDARG00000021913	5560
ENSDARG00000021916	2555
ENSDARG00000021924	2358
ENSDARG00000021938	8357
ENSDARG00000021945	3139
ENSDARG00000021948	7899
ENSDARG00000021959	1858
ENSDARG00000021973	1984
ENSDARG00000021974	1221
ENSDARG00000021975	2103
ENSDARG00000021979	3710
ENSDARG00000021982	1485
ENSDARG00000021984	381
ENSDARG00000021985	2581
ENSDARG00000021987	16427
ENSDARG00000021991	4419
ENSDARG00000021996	1341
ENSDARG00000021997	2079
ENSDARG00000022000	2465
ENSDARG00000022007	1888
ENSDARG00000022020	5974
ENSDARG00000022045	16518
ENSDARG00000022048	2736
ENSDARG00000022085	2383
ENSDARG00000022098	1945
ENSDARG00000022101	13260
ENSDARG00000022129	2569
ENSDARG00000022139	1629
ENSDARG00000022160	1981
ENSDARG00000022165	2150
ENSDARG00000022176	2359
ENSDARG00000022177	4696
ENSDARG00000022183	1486
ENSDARG00000022187	6416
ENSDARG00000022203	5557
ENSDARG00000022213	1822
ENSDARG00000022218	1595
ENSDARG00000022232	1872
ENSDARG00000022254	7074
ENSDARG00000022260	1877
ENSDARG00000022261	2311
ENSDARG00000022271	1427
ENSDARG00000022280	5628
ENSDARG00000022295	4162
ENSDARG00000022303	3739
ENSDARG00000022309	7439
ENSDARG00000022315	1069
ENSDARG00000022319	2553
ENSDARG00000022334	2456
ENSDARG00000022340	1924
ENSDARG00000022350	5420
ENSDARG00000022372	1731
ENSDARG00000022378	3499
ENSDARG00000022399	2083
ENSDARG00000022410	4231
ENSDARG00000022413	1219
ENSDARG00000022418	2898
ENSDARG00000022424	3803
ENSDARG00000022430	4915
ENSDARG00000022437	1365
ENSDARG00000022438	1080
ENSDARG00000022456	3751
ENSDARG00000022466	6823
ENSDARG00000022493	2291
ENSDARG00000022503	2718
ENSDARG00000022509	965
ENSDARG00000022512	1219
ENSDARG00000022518	3789
ENSDARG00000022525	4741
ENSDARG00000022531	5447
ENSDARG00000022532	3174
ENSDARG00000022550	1826
ENSDARG00000022560	2352
ENSDARG00000022564	1003
ENSDARG00000022569	2023
ENSDARG00000022570	5448
ENSDARG00000022599	1931
ENSDARG00000022614	2518
ENSDARG00000022615	4539
ENSDARG00000022623	1446
ENSDARG00000022631	2328
ENSDARG00000022648	1610
ENSDARG00000022650	2060
ENSDARG00000022652	1286
ENSDARG00000022659	2881
ENSDARG00000022660	5802
ENSDARG00000022668	3206
ENSDARG00000022670	1042
ENSDARG00000022684	1070
ENSDARG00000022689	2383
ENSDARG00000022690	1909
ENSDARG00000022698	2125
ENSDARG00000022712	3442
ENSDARG00000022718	6363
ENSDARG00000022727	2940
ENSDARG00000022730	3802
ENSDARG00000022763	2167
ENSDARG00000022767	12857
ENSDARG00000022768	4945
ENSDARG00000022772	3438
ENSDARG00000022788	1196
ENSDARG00000022795	1051
ENSDARG00000022807	2098
ENSDARG00000022810	2811
ENSDARG00000022813	2193
ENSDARG00000022817	826
ENSDARG00000022832	1401
ENSDARG00000022841	3413
ENSDARG00000022845	1746
ENSDARG00000022853	1993
ENSDARG00000022858	1099
ENSDARG00000022891	4059
ENSDARG00000022895	8207
ENSDARG00000022904	2193
ENSDARG00000022905	880
ENSDARG00000022918	1295
ENSDARG00000022938	1100
ENSDARG00000022939	1128
ENSDARG00000022944	2258
ENSDARG00000022951	1173
ENSDARG00000022952	4260
ENSDARG00000022968	2939
ENSDARG00000022970	4168
ENSDARG00000022971	5654
ENSDARG00000022974	2497
ENSDARG00000022978	2143
ENSDARG00000022983	1869
ENSDARG00000022995	3222
ENSDARG00000022996	7330
ENSDARG00000023002	2368
ENSDARG00000023003	766
ENSDARG00000023026	2905
ENSDARG00000023028	2171
ENSDARG00000023031	1914
ENSDARG00000023036	6151
ENSDARG00000023040	4742
ENSDARG00000023053	3364
ENSDARG00000023058	5649
ENSDARG00000023062	4995
ENSDARG00000023082	1371
ENSDARG00000023104	5116
ENSDARG00000023110	4213
ENSDARG00000023111	3241
ENSDARG00000023117	2337
ENSDARG00000023151	3098
ENSDARG00000023152	1415
ENSDARG00000023157	1462
ENSDARG00000023160	1431
ENSDARG00000023168	2323
ENSDARG00000023174	2143
ENSDARG00000023176	1800
ENSDARG00000023181	765
ENSDARG00000023185	2325
ENSDARG00000023188	2283
ENSDARG00000023190	3793
ENSDARG00000023203	3093
ENSDARG00000023214	1339
ENSDARG00000023217	1760
ENSDARG00000023220	2002
ENSDARG00000023228	3234
ENSDARG00000023236	2871
ENSDARG00000023237	7057
ENSDARG00000023267	3595
ENSDARG00000023272	2701
ENSDARG00000023279	1530
ENSDARG00000023287	2439
ENSDARG00000023290	835
ENSDARG00000023298	588
ENSDARG00000023299	761
ENSDARG00000023302	2270
ENSDARG00000023303	2873
ENSDARG00000023309	1020
ENSDARG00000023316	7449
ENSDARG00000023318	9725
ENSDARG00000023323	4237
ENSDARG00000023330	2149
ENSDARG00000023362	2555
ENSDARG00000023369	2472
ENSDARG00000023394	3098
ENSDARG00000023396	2311
ENSDARG00000023443	4325
ENSDARG00000023445	9347
ENSDARG00000023448	2763
ENSDARG00000023472	3538
ENSDARG00000023479	4450
ENSDARG00000023484	1070
ENSDARG00000023495	1752
ENSDARG00000023498	2010
ENSDARG00000023508	3334
ENSDARG00000023519	988
ENSDARG00000023526	2192
ENSDARG00000023532	1814
ENSDARG00000023536	4734
ENSDARG00000023537	4032
ENSDARG00000023542	2772
ENSDARG00000023546	2073
ENSDARG00000023578	6399
ENSDARG00000023583	1387
ENSDARG00000023584	2241
ENSDARG00000023587	1949
ENSDARG00000023591	2140
ENSDARG00000023600	1881
ENSDARG00000023609	4661
ENSDARG00000023627	4132
ENSDARG00000023645	6953
ENSDARG00000023648	2545
ENSDARG00000023656	1060
ENSDARG00000023659	1322
ENSDARG00000023672	1057
ENSDARG00000023678	3414
ENSDARG00000023683	7710
ENSDARG00000023694	3819
ENSDARG00000023703	1329
ENSDARG00000023712	4420
ENSDARG00000023713	1435
ENSDARG00000023722	1317
ENSDARG00000023724	2158
ENSDARG00000023759	2300
ENSDARG00000023766	2660
ENSDARG00000023768	2242
ENSDARG00000023771	3940
ENSDARG00000023797	15237
ENSDARG00000023814	5987
ENSDARG00000023815	2720
ENSDARG00000023820	2177
ENSDARG00000023840	3566
ENSDARG00000023852	898
ENSDARG00000023858	1890
ENSDARG00000023861	2816
ENSDARG00000023868	12888
ENSDARG00000023878	2778
ENSDARG00000023886	6151
ENSDARG00000023900	2892
ENSDARG00000023903	1663
ENSDARG00000023914	2505
ENSDARG00000023916	1629
ENSDARG00000023920	8368
ENSDARG00000023927	1879
ENSDARG00000023933	2202
ENSDARG00000023940	1905
ENSDARG00000023950	663
ENSDARG00000023952	6015
ENSDARG00000023958	1749
ENSDARG00000023963	3460
ENSDARG00000023967	1869
ENSDARG00000023988	3736
ENSDARG00000023989	1450
ENSDARG00000023999	7764
ENSDARG00000024006	1090
ENSDARG00000024017	4214
ENSDARG00000024026	2200
ENSDARG00000024030	3513
ENSDARG00000024032	2303
ENSDARG00000024047	1395
ENSDARG00000024090	2913
ENSDARG00000024092	1596
ENSDARG00000024101	5643
ENSDARG00000024109	2171
ENSDARG00000024112	3142
ENSDARG00000024116	1823
ENSDARG00000024124	1925
ENSDARG00000024139	1217
ENSDARG00000024141	1017
ENSDARG00000024160	1311
ENSDARG00000024167	3019
ENSDARG00000024184	2316
ENSDARG00000024189	1260
ENSDARG00000024195	2392
ENSDARG00000024204	3062
ENSDARG00000024208	1368
ENSDARG00000024209	3321
ENSDARG00000024211	570
ENSDARG00000024219	3835
ENSDARG00000024229	1797
ENSDARG00000024276	4219
ENSDARG00000024277	1619
ENSDARG00000024278	2206
ENSDARG00000024295	1663
ENSDARG00000024299	3907
ENSDARG00000024306	4961
ENSDARG00000024311	1352
ENSDARG00000024314	5657
ENSDARG00000024317	3039
ENSDARG00000024324	3972
ENSDARG00000024325	7016
ENSDARG00000024365	2700
ENSDARG00000024381	3982
ENSDARG00000024398	1760
ENSDARG00000024416	3924
ENSDARG00000024431	798
ENSDARG00000024433	1976
ENSDARG00000024443	4901
ENSDARG00000024465	986
ENSDARG00000024471	1201
ENSDARG00000024478	1361
ENSDARG00000024479	1482
ENSDARG00000024488	5539
ENSDARG00000024492	3866
ENSDARG00000024503	920
ENSDARG00000024522	3295
ENSDARG00000024537	3882
ENSDARG00000024540	1496
ENSDARG00000024546	2591
ENSDARG00000024548	1807
ENSDARG00000024560	3054
ENSDARG00000024561	3839
ENSDARG00000024564	1662
ENSDARG00000024575	6360
ENSDARG00000024588	2201
ENSDARG00000024598	3420
ENSDARG00000024602	1701
ENSDARG00000024619	3840
ENSDARG00000024631	6586
ENSDARG00000024642	5599
ENSDARG00000024651	1803
ENSDARG00000024654	2731
ENSDARG00000024669	1704
ENSDARG00000024681	943
ENSDARG00000024687	3887
ENSDARG00000024693	1700
ENSDARG00000024694	6329
ENSDARG00000024708	1446
ENSDARG00000024717	1825
ENSDARG00000024728	5593
ENSDARG00000024740	573
ENSDARG00000024744	3893
ENSDARG00000024746	3062
ENSDARG00000024759	4118
ENSDARG00000024771	2003
ENSDARG00000024775	2872
ENSDARG00000024785	16723
ENSDARG00000024789	2436
ENSDARG00000024815	3053
ENSDARG00000024818	2009
ENSDARG00000024827	1810
ENSDARG00000024828	6293
ENSDARG00000024829	4270
ENSDARG00000024831	1378
ENSDARG00000024844	3237
ENSDARG00000024846	1684
ENSDARG00000024847	4896
ENSDARG00000024865	7411
ENSDARG00000024874	10697
ENSDARG00000024877	2706
ENSDARG00000024894	2167
ENSDARG00000024895	1653
ENSDARG00000024904	5645
ENSDARG00000024920	3634
ENSDARG00000024933	2413
ENSDARG00000024940	1769
ENSDARG00000024954	1759
ENSDARG00000024964	7616
ENSDARG00000024966	4360
ENSDARG00000024967	2925
ENSDARG00000025011	8377
ENSDARG00000025012	1287
ENSDARG00000025013	1098
ENSDARG00000025017	2351
ENSDARG00000025024	1461
ENSDARG00000025032	5363
ENSDARG00000025033	3477
ENSDARG00000025034	3827
ENSDARG00000025043	1755
ENSDARG00000025046	2518
ENSDARG00000025071	3357
ENSDARG00000025073	1281
ENSDARG00000025074	2890
ENSDARG00000025076	5993
ENSDARG00000025081	3145
ENSDARG00000025089	6382
ENSDARG00000025091	6685
ENSDARG00000025094	3454
ENSDARG00000025106	3631
ENSDARG00000025108	5111
ENSDARG00000025131	4545
ENSDARG00000025147	1294
ENSDARG00000025150	567
ENSDARG00000025162	4114
ENSDARG00000025168	714
ENSDARG00000025174	1485
ENSDARG00000025187	1348
ENSDARG00000025189	3016
ENSDARG00000025206	1998
ENSDARG00000025212	7285
ENSDARG00000025218	5554
ENSDARG00000025220	3535
ENSDARG00000025226	2533
ENSDARG00000025233	1306
ENSDARG00000025254	872
ENSDARG00000025269	4172
ENSDARG00000025275	2068
ENSDARG00000025285	1652
ENSDARG00000025299	1400
ENSDARG00000025301	2651
ENSDARG00000025302	2676
ENSDARG00000025309	1795
ENSDARG00000025311	2612
ENSDARG00000025319	2766
ENSDARG00000025320	2154
ENSDARG00000025325	2606
ENSDARG00000025326	932
ENSDARG00000025332	3150
ENSDARG00000025335	2943
ENSDARG00000025338	1767
ENSDARG00000025340	1346
ENSDARG00000025346	1507
ENSDARG00000025348	6049
ENSDARG00000025350	1018
ENSDARG00000025372	2941
ENSDARG00000025375	4322
ENSDARG00000025383	1399
ENSDARG00000025386	1702
ENSDARG00000025391	1847
ENSDARG00000025397	1643
ENSDARG00000025403	5985
ENSDARG00000025404	1410
ENSDARG00000025420	1923
ENSDARG00000025421	7165
ENSDARG00000025428	1935
ENSDARG00000025436	3290
ENSDARG00000025465	4724
ENSDARG00000025467	2330
ENSDARG00000025468	871
ENSDARG00000025478	2987
ENSDARG00000025495	2340
ENSDARG00000025500	3102
ENSDARG00000025504	6241
ENSDARG00000025505	1278
ENSDARG00000025507	2986
ENSDARG00000025513	4753
ENSDARG00000025518	1295
ENSDARG00000025522	3430
ENSDARG00000025535	5535
ENSDARG00000025547	321
ENSDARG00000025549	1977
ENSDARG00000025554	824
ENSDARG00000025555	1521
ENSDARG00000025559	1269
ENSDARG00000025566	2319
ENSDARG00000025567	5941
ENSDARG00000025576	4480
ENSDARG00000025577	2711
ENSDARG00000025581	2173
ENSDARG00000025593	4948
ENSDARG00000025595	2032
ENSDARG00000025600	954
ENSDARG00000025601	2256
ENSDARG00000025605	3054
ENSDARG00000025607	823
ENSDARG00000025608	3001
ENSDARG00000025615	1598
ENSDARG00000025641	6621
ENSDARG00000025658	1912
ENSDARG00000025667	2198
ENSDARG00000025670	5159
ENSDARG00000025671	4424
ENSDARG00000025672	1764
ENSDARG00000025679	2190
ENSDARG00000025693	5208
ENSDARG00000025699	3802
ENSDARG00000025703	2925
ENSDARG00000025718	2149
ENSDARG00000025728	5788
ENSDARG00000025754	2365
ENSDARG00000025757	1747
ENSDARG00000025766	3130
ENSDARG00000025783	692
ENSDARG00000025788	1879
ENSDARG00000025789	8252
ENSDARG00000025797	1645
ENSDARG00000025808	2220
ENSDARG00000025820	1816
ENSDARG00000025824	4219
ENSDARG00000025826	4379
ENSDARG00000025847	3955
ENSDARG00000025850	747
ENSDARG00000025854	2217
ENSDARG00000025855	2125
ENSDARG00000025858	5540
ENSDARG00000025859	2582
ENSDARG00000025866	1490
ENSDARG00000025875	1337
ENSDARG00000025889	2200
ENSDARG00000025891	1072
ENSDARG00000025899	837
ENSDARG00000025902	7524
ENSDARG00000025903	2201
ENSDARG00000025904	1853
ENSDARG00000025912	1877
ENSDARG00000025914	996
ENSDARG00000025920	5257
ENSDARG00000025943	943
ENSDARG00000025948	2403
ENSDARG00000025949	2362
ENSDARG00000025953	2296
ENSDARG00000025972	894
ENSDARG00000025974	5565
ENSDARG00000025977	2007
ENSDARG00000025983	3318
ENSDARG00000026017	2837
ENSDARG00000026024	2605
ENSDARG00000026028	3207
ENSDARG00000026035	2065
ENSDARG00000026048	8752
ENSDARG00000026049	2143
ENSDARG00000026052	1444
ENSDARG00000026053	4371
ENSDARG00000026068	1479
ENSDARG00000026070	3342
ENSDARG00000026072	959
ENSDARG00000026081	3001
ENSDARG00000026084	5891
ENSDARG00000026086	2887
ENSDARG00000026090	1865
ENSDARG00000026098	1131
ENSDARG00000026109	1625
ENSDARG00000026137	4276
ENSDARG00000026149	1940
ENSDARG00000026165	6999
ENSDARG00000026166	4153
ENSDARG00000026170	4984
ENSDARG00000026178	1896
ENSDARG00000026180	8726
ENSDARG00000026183	1215
ENSDARG00000026185	2089
ENSDARG00000026198	1947
ENSDARG00000026224	4488
ENSDARG00000026225	5357
ENSDARG00000026229	898
ENSDARG00000026236	2255
ENSDARG00000026246	1017
ENSDARG00000026247	2392
ENSDARG00000026248	1785
ENSDARG00000026281	2418
ENSDARG00000026294	4098
ENSDARG00000026296	2467
ENSDARG00000026313	617
ENSDARG00000026322	1635
ENSDARG00000026325	1618
ENSDARG00000026329	5287
ENSDARG00000026333	2276
ENSDARG00000026335	2816
ENSDARG00000026338	1241
ENSDARG00000026348	1984
ENSDARG00000026350	1735
ENSDARG00000026359	1178
ENSDARG00000026369	1912
ENSDARG00000026376	2884
ENSDARG00000026383	1828
ENSDARG00000026387	1611
ENSDARG00000026395	3461
ENSDARG00000026400	1431
ENSDARG00000026403	3723
ENSDARG00000026406	1202
ENSDARG00000026417	1020
ENSDARG00000026444	1464
ENSDARG00000026448	859
ENSDARG00000026453	6087
ENSDARG00000026454	3203
ENSDARG00000026473	5417
ENSDARG00000026476	2765
ENSDARG00000026482	5223
ENSDARG00000026484	1958
ENSDARG00000026489	3162
ENSDARG00000026499	2028
ENSDARG00000026500	1439
ENSDARG00000026505	5644
ENSDARG00000026513	1194
ENSDARG00000026519	7284
ENSDARG00000026531	3371
ENSDARG00000026540	3089
ENSDARG00000026548	1708
ENSDARG00000026569	2683
ENSDARG00000026577	1833
ENSDARG00000026582	1424
ENSDARG00000026595	3183
ENSDARG00000026599	2910
ENSDARG00000026611	2264
ENSDARG00000026616	1168
ENSDARG00000026629	3302
ENSDARG00000026630	4632
ENSDARG00000026634	6056
ENSDARG00000026635	1314
ENSDARG00000026654	1406
ENSDARG00000026655	934
ENSDARG00000026663	3036
ENSDARG00000026664	2756
ENSDARG00000026680	5451
ENSDARG00000026682	4188
ENSDARG00000026701	2461
ENSDARG00000026704	1822
ENSDARG00000026712	2593
ENSDARG00000026723	2415
ENSDARG00000026726	1642
ENSDARG00000026736	2887
ENSDARG00000026753	5067
ENSDARG00000026759	3078
ENSDARG00000026762	2895
ENSDARG00000026764	1522
ENSDARG00000026766	1349
ENSDARG00000026767	3530
ENSDARG00000026771	1938
ENSDARG00000026784	7676
ENSDARG00000026787	2461
ENSDARG00000026796	5021
ENSDARG00000026799	1456
ENSDARG00000026801	3981
ENSDARG00000026806	3747
ENSDARG00000026811	3704
ENSDARG00000026820	4522
ENSDARG00000026829	1398
ENSDARG00000026834	2358
ENSDARG00000026835	1361
ENSDARG00000026839	823
ENSDARG00000026840	4870
ENSDARG00000026842	6155
ENSDARG00000026845	3426
ENSDARG00000026855	2288
ENSDARG00000026862	2797
ENSDARG00000026864	941
ENSDARG00000026865	1735
ENSDARG00000026871	1720
ENSDARG00000026875	1762
ENSDARG00000026882	2022
ENSDARG00000026892	1658
ENSDARG00000026895	1308
ENSDARG00000026902	2396
ENSDARG00000026904	1146
ENSDARG00000026907	1497
ENSDARG00000026908	1709
ENSDARG00000026925	4149
ENSDARG00000026926	2820
ENSDARG00000026941	3130
ENSDARG00000026967	2805
ENSDARG00000026972	2362
ENSDARG00000026979	1522
ENSDARG00000026985	4540
ENSDARG00000026986	4124
ENSDARG00000026988	1952
ENSDARG00000026990	2488
ENSDARG00000027009	1634
ENSDARG00000027016	9570
ENSDARG00000027017	4364
ENSDARG00000027041	5398
ENSDARG00000027046	3024
ENSDARG00000027063	1708
ENSDARG00000027065	10598
ENSDARG00000027070	1754
ENSDARG00000027078	5106
ENSDARG00000027079	3657
ENSDARG00000027082	1860
ENSDARG00000027087	1242
ENSDARG00000027088	1029
ENSDARG00000027099	1980
ENSDARG00000027109	5354
ENSDARG00000027112	3816
ENSDARG00000027129	1319
ENSDARG00000027131	1216
ENSDARG00000027140	3577
ENSDARG00000027141	2455
ENSDARG00000027143	1451
ENSDARG00000027153	1669
ENSDARG00000027154	3850
ENSDARG00000027159	1041
ENSDARG00000027161	375
ENSDARG00000027169	1738
ENSDARG00000027172	2356
ENSDARG00000027182	1817
ENSDARG00000027183	2020
ENSDARG00000027187	2952
ENSDARG00000027192	2517
ENSDARG00000027196	2694
ENSDARG00000027199	4125
ENSDARG00000027200	1079
ENSDARG00000027222	4306
ENSDARG00000027234	3624
ENSDARG00000027236	1373
ENSDARG00000027249	3627
ENSDARG00000027279	5815
ENSDARG00000027285	1437
ENSDARG00000027290	2026
ENSDARG00000027310	3959
ENSDARG00000027316	2747
